影城,戲院,戲院海報,介紹,交通方式,地址,連絡電話,
秀泰影城,台中麗寶秀泰,https://capi.showtimes.com.tw/assets/8c/8c095eec0f1d2a3bc57acb242787bf9b.jpg,台中麗寶秀泰影城位於麗寶Outlet Mall D區3樓，採用簡潔靜寧的韓風白色系設計，每座影廳皆配備頂級放映設備及全台獨家的日本Kotobuki第三代尊榮商務艙雙扶手座椅，並貼心安裝TOTO免治馬桶，提供顧客舒適完善的觀影空間，打造台中地區休閒娛樂網美打卡新地標。,"高鐵：搭乘高鐵至臺中站下車
● 轉乘接駁車：免費接駁車(須於官網提前預約) 到麗寶樂園，至Outlet MallＤ區3樓
● 轉乘公車：155路公車(搭乘時間約90分鐘以上) 到麗寶樂園，至Outlet MallＤ區3樓

飛機：搭乘飛機至臺中清泉崗機場，轉乘302路公車至台中朝馬國光站，再轉乘免費接駁車到麗寶樂園，至Outlet MallＤ區3樓

火車：搭火車到豐原火車站
● 轉乘公車：時間約30分鐘起，票價約33元，請參考「市區公車」
● 搭特約計程車：計程車上面有麗寶樂園的 LOGO，時間約20分鐘，車資約為450元，請參考「計程車」

火車：搭火車到后里火車站 步行至后里國小前
● 搭乘樂園免費接駁車直達麗寶樂園，至Outlet MallＤ區3樓
● 轉乘公車：155路公車、811路公車直達麗寶樂園麗寶樂園，至Outlet MallＤ區3樓 ● 搭特約計程車：搭火車到后里火車站，轉搭麗寶樂園特約計程車，后里 -麗寶樂園的計程車車資約為250元，麗寶樂園特約計程車可以直接開入園區，不需再另外多付任何費用。請參考「計程車」。

公車
155路公車、811路公車到麗寶樂園，至Outlet MallＤ區3樓",台中市后里區月眉東路二段181號3樓,(04)2558-7180,
秀泰影城,嘉義秀泰,https://capi.showtimes.com.tw/assets/b2/b232c813677c07ad16709e1c5b328203.jpg,"11個放映廳，1408席，淡水河以南最大超級巨幕、日本專利商務艙座椅等最優質設備，提供頂級舒適的視聽空間，打造嘉義市最具話題、亮點的精品影城，成為觀影娛樂消費新地標。

超級巨幕廳特色： 由秀泰集團斥資超過千萬打造中南部第一大的「超級巨幕」廳，挑高五層樓近15米高、22米寬，並採用最新科技Barco4K雷射投影，帶給觀眾一個高亮度、高畫質、高清晰、高品質的視覺饗宴。為了達到更完美的音場感受和追求聲音極致，「超級巨幕」廳特別採用Christie「陣列式? 主聲道及環繞喇叭，經過精密計算過的短、中、長程喇叭，及區分平均音壓，總輸出高達12萬瓦，能使觀眾感受到高頻的纖美、中頻的豐潤、低頻的渾厚及重低音的超震撼表現，並採用日本Kotobuki頂級商務艙雙扶手座椅，全台最深之1.25米階深，腿部空間表現上更為寬闊，符合人體工學，更享有黃金觀影視野。秀泰影城將打造全台最氣勢磅礡的巨型銀幕影廳，重新定義頂級奢華的觀影享受。","嘉義火車站沿林森西路路步行約20分鐘。

公車
搭乘市區66路台灣好行公車「光林我嘉線」，於秀泰影城下車",嘉義市西區文化路299號,05-228-3838,
秀泰影城,基隆秀泰,https://capi.showtimes.com.tw/assets/8a/8ac59f927658b640de192643bf6cadb2.jpg,旗艦級的尊榮定位，斥資上億元鉅額，時尚華麗的空間享受。8座超豪華影廳，1033個舒適座椅，更多廳更多選擇。全新數位3D放映技術搭配杜比環繞音響系統，超環繞，超震撼﹗量身訂做影廳座椅，符合人體工學，久坐更舒適，座位前後排間距加寬，觀賞視線無障礙。最齊全的餐飲美食，香濃爆米花，可樂，熱狗堡，吉拿棒等新鮮提供，看電影不必出遠門，基隆在地最便利的選擇，便宜又划算﹗,"近基隆火車站，往文化中心步行約10分鐘。

公車
市政府站下車(101、103、104、105、107、108、109、201、202、203、204、205)步行約3分鐘。",基隆市信一路177號,(02)2421-2388,
秀泰影城,花蓮秀泰,https://capi.showtimes.com.tw/assets/24/2432c2b3dd3dd157f16967b1679b4b09.jpg,引進全新數位杜比3D放映技術，優質強片輪番上映，位處鬧區，提供花蓮當地民眾娛樂休閒更好的選擇!!,花蓮火車站往國聯五路步行約10分鐘。,花蓮市國聯五路69號,(03)8339838,
秀泰影城,台東秀泰,https://capi.showtimes.com.tw/assets/5c/5c593a3e-9d7f-4f3a-af0b-49e638ec5d81.jpg,台東市區最大娛樂廣場，食趣購物新據點，不可錯過的美食饗宴，最新流行購物資訊。 結合最優質影音設備，八個影廳近千個座位，提供您身歷其境的影音感受。,"新生公園旁、鼎東客運站旁

公車
在台東火車站搭8116公車到新生路下，走1分鐘到新生路93號。",台東市新生路93號,(08)9327755,
秀泰影城,北港秀泰,https://capi.showtimes.com.tw/assets/15/15a0cf3e5b432fcc26e78507575a5b2c.jpg,雲林北港秀泰影城全店風格設計裝潢，每廳裝置頂級放映設備及秀泰影城獨家舒適商務艙雙扶手座椅，並貼心安裝免治馬桶，提供顧客舒適完善的觀影空間，打造雲林地區休閒娛樂網美打卡新地標。,"【自行開車】


◎國道1號→下嘉義交流道→往西北走北港路/159縣道→靠左行駛，進入嘉北路/159縣道→靠左行駛，進入縣道164號/159縣道→於縣道164號/台19線向左轉→於中央公路/華南路/台19線向右轉→直行約1分鐘即可抵達家樂福北港店，雲林北港秀泰影城位於2F



【大眾運輸】


◎搭乘火車至嘉義火車站，於前站轉乘嘉義客運（嘉義→北港 7201、7202），於終點「北港站」下車，步行6分鐘即可即可抵達家樂福北港店，雲林北港秀泰影城位於2F",雲林縣北港鎮光復里華南路101號2樓,(05)7821-898,
秀泰影城,台南仁德秀泰,https://capi.showtimes.com.tw/assets/a7/a7f31e004ba5ca4287b853836d6cfa04.jpg,台南仁德秀泰影城位於家樂福台南新仁店2樓，全店風格設計裝潢，每廳裝置頂級放映設備及秀泰影城獨家舒適商務艙雙扶手座椅，並貼心安裝免治馬桶，提供顧客舒適完善的觀影空間，打造台南地區休閒娛樂網美打卡新地標。,,台南市仁德區仁愛里大同路三段759號2樓,(06)269-1889,
秀泰影城,高雄夢時代秀泰影城,https://capi.showtimes.com.tw/assets/6d/6daf8f2a5b6f5ccdd0c503271267b254.jpg,"高雄夢時代秀泰影城以未來航空站作為設計發想，從火箭發射台大廳、光年飛行走廊、天際展演廳隨處可見富有未來感的航空元素，全影城12座影廳1,852席皆配備英國進口最高規格的傾躺式商務級皮椅，並耗資重金與韓國CJ4DPLEX合作，打造全台獨家的「ScreenX 270度沉浸式全景影廳」，ScreenX影廳採用高規格投影技術，將主銀幕延伸成為三面270度全景畫面、將大幅擴大觀眾周邊視野，並結合4K雷射巨幕，打造高約8米，寬約49米的270度超巨幕全景影廳，並同步升級杜比重低音以及環繞音響，將能創造極致震撼的沉浸式觀影體驗，另外也建置一座「南高雄」最大的「寬巨幕廳」，銀幕尺寸寬約19公尺，高約8公尺並採用最新Christie 4K RGB純雷射電影機，並特別設置Dolby主聲道&Christie Vive 陣列式環繞喇叭。

除了「ScreenX 270度沉浸式全景影廳」及「寬巨幕廳」外，全影城共建置11座頂級數位影廳，每廳皆配備頂級Christie電影機、Christie Vive陣列式環繞喇叭，提供劇院等級的擴大機Dynacord及 Dolby 7.1 聲道音效處理系統，並採用黃金比例打造全面無死角觀影環境，並擁有符合人體工學的1.2米階深，享有黃金觀影視野，提供影迷們極致舒適的觀影享受。","高雄捷運

請搭乘高雄捷運至R6(凱旋站)轉乘輕軌C3(前鎮之星站)至C5(夢時代站)下車

屏東客運

高雄-墾丁、高雄-鵝鑾鼻:請於夢時代站下車，約步行15分鐘即可抵達

公車
高雄市公車

15、36、70、214、中華幹線、168環狀東線/西線 請於夢時代站下車，即可抵達。

25、69、12

168環狀東線/西線",高雄市前鎮區中華五路789號8樓,(07)-8122998,
秀泰影城,高雄岡山秀泰,https://capi.showtimes.com.tw/assets/a4/a486200b1bf858eb26646511e21b5007.jpeg,"高雄岡山秀泰全影城共13座影廳，每廳皆備有頂級Christie RGB 雷射電影機、Dolby7.1聲道音效處理系統、Christie擴大機、Vive陣列式喇叭系統，以及11.85黃金比例影廳，打造全面觀影無死角環境，而全影城座椅使用秀泰獨家日本 Kotobuki 頂級商務艙雙扶手座椅並擁有全台最深之1.2米階深，腿部空間表現上更為寬闊，符合人體工學，更享有黃金觀影視野，提供影迷們最舒適的觀影享受。

為滿足高雄影迷們對於觀影品質的追求，秀泰影城耗資重金在高雄岡山秀泰影城打造南高屏銀幕尺寸最大的 「超級巨幕廳」，挑高五層樓15米高、22米寬，採用最新科技 Christie 4K RGB 雷射電影機，並特別設置 Christie 「陣列式? 主聲道及環繞喇叭。

經過精密計算過的短、中、長程喇叭，及區分平均音壓，總輸出高達12萬瓦，能使觀眾感受到高頻的纖美、中頻的豐潤、低頻的渾厚及重低音的超震撼表現，「超級巨幕廳」讓消費者不只是「看」電影，更是「享受」極致的觀影體驗。","1. 捷運：捷運南岡山站1號出口，出站後過馬路，即可抵達。

2.公車：捷運南岡山站",高雄市岡山區捷安路1巷2號4樓,(07)-6262808,
威秀影城,台北信義威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20161018001.jpg,"台北信義威秀影城內有時髦前衛、聲光炫麗的裝潢，為全國第一座專門為放映電影而量身打造的建築設計，提供了由現成建築物改裝的傳統電影院無法擁有的舒適視聽空間。


世界上最棒的影廳之一的4DX影廳，威秀影城2013年獨家引進，打造『台北信義威秀影城』全台首座4DX影廳，帶給您世界級的最新影音感官全體驗效果。


為滿足觀眾視聽至高無上的享受，台北信義威秀影城應用最新科技，為未來影城之設計規劃建立新規範，也為台灣的電影院史上樹立新的里程碑。出自名室內設計師之手的17間影廳院，皆具備超大型廣角弧形銀幕及球場座位排列的座椅，提供威秀影城之觀眾寬敞舒適、無障礙的空間，為全台首座經過THX世界標準聲場環境認證的標準影廳，提供北台灣民眾世界級的影音享受。","捷運：市政府站3號出口、捷運象山站 1號出口、台北101/世貿站4號出口
公車︰可搭乘 284, 202, 266, 277, 611, 612, 621, 20 (松壽路口下)",台北市信義區松壽路20號,(02) 8780-5566,
威秀影城,台北京站威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20160912004.jpg,台北京站威秀影城為威秀影城全台第八家影城，也是正式更名為威秀影城後，第一家全新開幕的影城。座落於西區最大公共交通轉運樞紐的複合式商場內。經過京站時尚廣場進入台北京站威秀影城的長型手扶梯後，就是由國內知名設計團隊打造，時尚大器的入口挑高大廳；漫步入內，設計感鏤空天花版，二側步道不但有電影相關資訊，還有錯落的小店可在買票後稍做瀏覽。,"捷運/高鐵/台鐵：台北車站站，往中山地下街方向至R1出口，或經台北地下街Y1、Y3、Y5出口，步行約5分鐘即抵
公車︰可搭乘公車或客運至「臺北車站」站下車",台北市大同區市民大道一段209號5樓,(02) 2552-5511,
威秀影城,板橋大遠百威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20161021003.jpg,板橋大遠百威秀影城是威秀影城於新北市的第一個據點。座落於新板特區板橋大遠百複合式商場內的10樓，為全數位化影城，全面採用最先進的Christie數位二代機放映系統，並且皆有數位IMAX影廳配置，影城音響系統採用全球最先進QSC四迴路音響系統，是台灣影院中極其頂尖的音響設備。,"捷運/高鐵/台鐵：板橋站3 A 出口，往台鐵1F東2門方向右轉步行約3~5分鐘，或由台鐵B1F東門方向經地下連通道即可到達
公車︰可搭乘至「板橋火車站」站下車，往台鐵東門方向右轉步行約3~5分鐘即可到達
客運：可搭乘至「板橋客運站」下車，出口左轉步行約 3~5 分鐘即可到達",新北市板橋區新站路28號10樓,(02) 7738-6608,
威秀影城,台北西門威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20240912001.jpg,"位於年輕人熱愛的潮流與創意匯聚之地西門町，本影城為9座影廳，共計1,012席，打造西區觀影首選據點；不僅提供觀影體驗場域，更成為年輕族群的全娛樂新熱點，開啟新的電影旅程。","捷運：西門站六號出口經徒步區至漢中街
公車︰
可搭乘9、12、20、49、202、202區、205、206、212、212直、218、218直、220、223、231、232、234、242、243、245、246、249、252、253、260、262、262區、263仁愛幹線 至「捷運西門站」
可搭乘18、221、232、235、257、635、637、640、783、797、799、835、藍2至「西門市場(成都)」
可搭乘242、624、938、藍29至「漢口中華路口」",台北市萬華區漢中街52號8-11樓,(02) 2312-3232,
威秀影城,中和環球威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20210512001.jpg,"威秀影城於環球購物中心新北中和店，推出10座嶄新雷射影廳，座位數1,360席，帶給中永和及鄰近地區影迷更明亮的高畫質觀影體驗。
前後座位空間全部升級，滿足影迷觀賞電影的舒適需求；10座雷射影廳提供多元影片內容，增加場次彈性，讓觀眾能有更多選擇，打造服務影迷最全面的新穎影城。","捷運/高鐵/台鐵：捷運至板橋車站或新埔站換搭免費接駁車。

公車︰
可搭乘307、57(Global Mall環球購物中心下車)，步行約2分鐘至Global Mall新北中和
可搭乘657 (瑞穗里下車)，步行約2分鐘至Global Mall新北中和

接駁車︰
新埔線 | 班距30~60分鐘 | Global Mall 新北中和→捷運新埔站1號出口(步行三分鐘可至捷運環狀線新埔民生站)→Global Mall新北中和

板橋線 | 班距30~60分鐘 | Global Mall 新北中和→板橋火車站西出口站→Global Mall 新北中和",新北市中和區中山路三段122號4樓 (Global Mall新北中和),(02)8226-6063,
威秀影城,新店裕隆城威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20230928001.JPG,"位於新北市新店區的威秀影城，為威秀影城旗下於新北市的第4座影城。本影城共計14座影廳，接近2400個總座位數。14座影廳中，包括1座IMAX影廳，將為新北市新店一帶居民帶來極致震撼影音體驗。
新店裕隆城威秀影城除了主打高規格影音體驗的IMAX雷射影廳之外，其餘13座影廳更能滿足各類影迷客層需求。想看的電影應有盡有，加上優異的雷射投影，力求影音完美表現的威秀影城，將帶給新店一帶的居民們最佳休閒場所。","捷運：
松山新店線/環狀線-大坪林站5號出口
松山新店線-七張站1號出口

公車︰
可搭乘台北客運綠1至「臺灣銀行」，793、796至「寶橋中興路口站」
可搭乘新店客運647、849、綠3至「寶橋路口站」
可搭乘中興客運951至「寶橋路口站」
可搭乘東南客運小11至「臺灣銀行」
可搭乘欣欣客運棕2至「臺灣銀行」，576、819至「寶橋路口站」，252、592、819至「寶橋中興路口站」

接駁車：
站牌位置：捷運大坪林站5號出口左後方。
班次頻率：每天上午11:00自大坪林站發車，每15分一班，直達裕隆城不中停。",新北市新店區中興路三段70號7樓 (新店裕隆城),(02)8911-5221,
威秀影城,林口MITSUI OUTLET PARK威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20160912013.jpg,"林口MITSUI OUTLET PARK威秀影城，為威秀影城以開創性概念打造的全新據點。
為了給影迷最佳觀影體驗，本據點將採取全4K影廳規格，讓影像投影畫質大幅提升，並透過優化程度使影像達到最清晰、栩栩如生效果。

威秀影城也特別打造全新人文概念影廳「Mappa」，讓影迷在娛樂觀影之外，亦能感受濃厚的藝文色彩風格，將成為北台灣最具風格化的影城。而新北市首座4DX動感體驗影廳，也讓引頸期盼的新北市影迷們，能就近體驗全球好萊塢最夯的互動娛樂座椅效果。
","公車：
1)台北前往可搭乘：786、858、898、920、925、936、937、945、946、946副、948、1210、1211、1356B
2)桃園前往可搭乘： 5063、5069、5071、1356B

客運︰
1)台北前往可搭乘： 三重客運-936(直達)、1210、1211(直達)、長庚號(直達)、泛航客運-2001大都會客運-936(直達)、937(直達)
2)桃園前往可搭乘： 桃園客運-5057、5063、5065、5116

捷運：機場捷運林口站出口步行約5分鐘

接駁車：請多加利用MITSUI OUTLET PARK 林口免費接駁車",新北市林口區文化三路一段356號3樓,(02) 2606-8099,
威秀影城,桃園統領威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20180918001.jpg,"位於桃園火車站人潮聚集處的統領百貨，組成客層多元化。舉凡學生族群到新住民、新移工、粉領族及親子家庭，都是此據點主力消費者；威秀影城首度落點桃園，就要打造給影迷們最多選擇的影城為風格。

為了迎接包羅萬象的各國片單，威秀影城推出20個全雷射影廳，讓桃園觀眾能享受到各式電影，給你最多影廳最多選擇；電影類型應有盡有，滿足影迷觀影期待。","開車：
1) 中山高速公路-南崁交流道下，車程約20分鐘即可抵達。
2)北二高-大湳交流道下，車程約15分鐘即可抵達。
※停車優惠：憑當日電影票根可折抵每台車1小時(票根每車限抵乙張)，若有統領T+會員卡平日可再折抵2小時，假日1小時，合併優惠每日以4小時為限，折抵以1台為限。

台鐵：由台鐵桃園站下車後步行約5分鐘即可抵達。
高鐵︰高鐵桃園站下車後搭乘高鐵206號接駁車至桃園站下車後步行約5分鐘即可抵達。",桃園市桃園區中正路61號9樓 (統領百貨),(03) 333-3232,
威秀影城,桃園桃知道威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20240807001.jpg,"位於桃園圖書館總館的桃園桃知道威秀影城，由威秀影城管理。本影城包括4座影廳，總座位數接近4百席。
打造以知識電影方舟概念，讓桃園影迷多一處探索全球藝術文化的好去處。 除了世界各地影展的藝文電影，也將帶給觀眾時下最熱門的人氣作品，服務大桃園地區影迷。","自行開車：
國道1–南崁交流道下，循省道4號春日路右轉南平路直行至中正路口即達。
國道2–南桃園交流道下，往桃園方向，循大興西路至中正路左轉即達。

公車/客運︰
可搭乘168、168A、188、189、302、707、711、9005至「南平中正路口站」
可搭乘168、168A、188、189、220、220A、221、222、223、151、152、117、117A、GR、711、1662、9005、9023至「中正藝文特區站」
可搭乘220、220A、221、222、223、151、152、117、117A、302、309、GR、707至「行政執行處站」",桃園市桃園區南平路301號4樓 (桃知道GELEVEN PLAZA),(03) 317-5353,
威秀影城,新竹大遠百威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20160912016.jpg,"新竹大遠百威秀影城位於新竹市西大路大遠百娛樂城8樓及10樓，引進世界級的影音設備，同步上映全球熱門的精采好片，儼然為新竹娛樂新地標，無疑地提供了新竹地區朋友更優質的娛樂生活。
由於座落於西大路和西門街交叉處的市中心精華區，公車等大眾工具便捷，而大遠百娛樂城本身更提供了504個停車位，287個機車停車格，可說是得天獨厚的商場地點。此外，它還緊鄰繁榮的城隍廟傳統市場，其乃是新竹市民眾長久以來休憩聚集之地！如此精華之地段，肯定讓新竹市民眾對新竹威秀的所在更增添了一份熟悉好感！","開車：新竹交流道→光復路往市區方向→食品路左轉→西大路右轉即可到達
公車︰可搭乘 5號公車至「西門市場」站下車
接駁車：請多加利用遠百免費接駁公車",新竹市西大路323號8樓,(03) 524-1166,
威秀影城,新竹巨城威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20180601001.jpg,"新竹巨城威秀影城位於新竹最大的百貨購物中心，這個以「家」的視覺風格為主要設計，採用木質色系裝潢強調舒適、潔淨的感覺。而這個新家大廳採簡約優雅的寬敞空間設計，並增加休憩的CAF? BAR，給桃竹苗地區的大居民們感受休閒樂活的新生活氣象！這裡絕對是所有影迷的第二個「家」，隨處可見影城貼心設計，符合影迷們的消費模式。
其中數位IMAX影廳可容納近300多人的座位，乃桃竹苗地區打造的首座擁有商用數位IMAX放映設備的影城，巨大弧形銀幕造完美觀影包覆感，不論坐在影廳內任何角落的觀眾，都能完全融入電影情境中，感受身置電影場景的震撼體驗！","開車：新竹交流道→光復路往市區方向→民族路右轉→中央路右轉即可到達
公車︰可搭乘 52號或53號至「 巨城購物」站下車
接駁車：請多加利用巨城購物中心免費接駁公車",新竹市民權路176號4樓之3,(03) 534-6999,
威秀影城,頭份尚順威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20161018008.jpg,苗栗尚順威秀影城，讓座落在山中之城的這塊土地擁有電影養份；本影城呼應素有山城之稱的苗栗，打造出山城之鑽的設計概念。影院溢綻著神秘的紫色系瑰麗質感，以歐洲古典風格為影院空間宇宙，讓人身置歐陸小城的巴洛克風格。,"開車：國道一號南上或北下，由頭份交流道下車程約5分鐘即可抵達
台鐵：由台鐵竹南站下車後搭乘苗栗客運，車程約5分鐘即可抵達
公車︰可搭乘5802、5803、5806至「六合國小」站下車",苗栗縣頭份市東庄里15鄰育樂街8號7樓、8樓,(037) 686-866,
威秀影城,台中大遠百威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20161018007.jpg,台中大遠百威秀影城為2011年底於台中增設的第三個據點，這座中台灣最新的複合式影城以原野大地色彩設計，有別於過去威秀影城的美式風格，將帶給中台灣民眾高水準的視聽饗宴。,"開車：
1)中山高速公路-台中交流道(台中、沙鹿))下往台中市方向
2)中彰快速公路-市政路出口下交流
3)中投公路-文心路往北屯路方向、左轉台灣大道
※停車優惠：台中大遠百地下停車場，憑當日電影票根每張可折抵1小時，每台車最多4小時。

接駁車：至台中高鐵站搭乘免費快捷專車至朝馬站，步行至台中大遠百威秀影城約10分鐘可到達",台中市西屯區台灣大道三段251號13樓 (台中大遠百購物中心),(04) 2258-8511,
威秀影城,台中TIGER CITY威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20190711001.jpg,"TIGER CITY威秀影城於2011年11月25日全新改裝開幕，眾所矚目的大台中首座商用數位IMAX影廳亦宣告正式進駐大台中。全新改裝的影城呈現出時尚奢華、簡約優雅的全新風貌，影廳內的座椅則加倍的舒適寬敞。
2002年1月18日威秀影城為台灣觀眾引進享譽國際之「GOLD CLASS頂級影廳」，座落於台中TIGER CITY威秀影城，為全台第一座與國際同步、獨一無二的超豪華影廳。","公車︰
《高鐵台中站前往》
1.轉乘往「台中市區」路線，至「秋紅谷」站下車，步行約5分鐘。
2.豐原客運153在「秋紅谷」站下車。
3.和欣客運160在「朝馬轉運站」站下車、161在「臺中國家歌劇院」站下車。

《台中市區公車前往》
1.「公車專用道」路線，至「秋紅谷」站下車，步行約5分鐘。
2.臺中客運27、49、60至「老虎城」站下車。
3.統聯客運18、75至「老虎城」站下車。

※停車優惠：TIGER CITY地下停車場，憑當日電影票根每張可折抵2小時，每台車最多4小時。",台中市西屯區河南路三段120-1號4樓,(04) 3606-5566,
威秀影城,台中大魯閣新時代威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20220808001.jpg,"睽違六年重回大魯閣新時代購物中心，期待服務更多影迷們；威秀影城於大魯閣新時代購物中心台中店推出9座影廳，座位數逾1,781席，包括一個杜比ATMOS影廳，多廳風格提供多元影片內容，增加場次彈性，讓觀眾選擇更多。","自行開車
國道一號：中港交流道→台灣大道→建國路→台中路→復興路→大魯閣新時代購物中心。
國道三號：中投交流道→中投快速公路→五權南路→忠明南路→大智路→大魯閣新時代購物中心。
※停車優惠：憑當日電影票根可折抵2小時，每台車最多2小時，不分平假日。

公車︰搭乘18、51、60、89、280、286、288、289，至「新時代購物中心」下車。

國道客運/台鐵︰臺中火車站復興路左出口轉，步行約5分鐘大魯閣新時代。

高鐵︰高鐵烏日站轉乘台鐵到臺中火車站，復興路左出口轉步行約5分鐘大魯閣新時代。",台中市東區復興路四段186號4樓 (台中大魯閣新時代購物中心),(04)2228-0388,
威秀影城,台南大遠百威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20161018004.jpg,威秀影城於2002年7月5日正式在府城台南開幕，這座在台南核心地帶的威秀影城始終是年輕學生族群的最愛。經過了16年的歲月，威秀翻新本次據點，裝設了高度舒適彈性沙發座椅，讓影迷一坐上去感受前所未有的柔軟包覆。本次改裝加寬座椅間距，本來近2100席的座位少了600多席，把原本30%的空間多留給觀眾，給足影迷最寬闊的觀影體驗。,公車：可搭乘台南市公車至「台南大遠百」站下車,台南市中西區公園路60號5樓,(06) 600-5566,
威秀影城,台南FOCUS 威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20200311001.jpg,"威秀影城於台南市的第三個據點：台南FOCUS威秀影城。
本據點以簡約時尚打造出這座年輕化的影城，寬闊明亮，讓每個造訪的觀眾覺得猶如回到家般的溫暖。全影城為全雷射投影，共計9座影廳，總座席為660席，將為府城觀眾帶來更多元選擇。亦是威秀影城在台灣的第16家影城。","客運：國光、統聯等客運至台南火車站前的北門路，往路行圓環中山路方向約五分鐘，即可到達。
自行開車：國道1號→仁德交流道→直行往台南市區方向→東門陸橋→右轉北門路→台南火車站前圓環→右轉中山路→即可到達。",台南市中西區中山路166號11樓,(06)-222-3566,
威秀影城,台南南紡威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20201229001.JPG,"威秀影城以最高規格配備打造台南南紡威秀影城，讓觀影享受全面升級，一次到位！

A1館(1~11廳)設有一座數位IMAX影廳以及兩座GOLD CLASS頂級影廳，外加七座標準影廳；IMAX影廳使您同步體驗好萊塢最新強檔影片效果，GOLD CLASS讓您享受食尚雅緻的完美服務。
A2館(21廳~25廳)設有五座全雷射影廳，提供更多影片內容，讓台南南紡威秀影城成為台南最多影廳的單一影城，提供府城影迷們嶄新尊榮享受，給足各類觀影需求。","公車：可搭乘15號至「南紡購物中心」站下車，或搭乘６號至「後甲圓環」站下車
客運：可搭乘興南客運奇美線(H62)至「南紡購物中心」站下車
停車資訊：
(1)A1館地下停車場24小時開放
(2)A1館上層停車場開放時間11:00~21:30
(3)A2館上層/地下停車場開放時間11:00~21:30
非南紡購物中心營業時間，影城顧客敬請優先停至A1館地下停車場","A1館(1~11廳):台南市東區中華東路一段366號5樓
A2館(21~25廳):台南市東區中華東路一段358號B1樓",(06) 237-2255,
威秀影城,高雄大遠百威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20161018002.jpg,"座落於市中心精華區的高雄威秀影城，地處高雄百貨匯集區，縱貫高雄大遠百13樓至16樓的樓層面積，強調舒適及空間感的國際級電影城，在影音設備及電影行銷活動上，帶給南台灣消費者最高品質的享受！
高雄捷運通車後，便捷的交通與優質的地理位置，使高雄威秀影城成為結合百貨流行、休閒娛樂與流行時尚的都會地標，滿足所有南台灣朋友們的需求。","捷運：捷運三多商圈1號出口
公車︰可搭乘 12, 70, 83, 100, 紅16, 紅18, 紅21(三多四路與中山路口下)",高雄市苓雅區三多四路21號13樓 (大遠百購物中心),(07) 334-5566,
威秀影城,花蓮新天堂樂園威秀影城,https://www.vscinemas.com.tw/vsweb/upload/about/about_20190102001.jpg,"身為台灣影城的領導品牌，為了給影迷最佳觀影體驗，花蓮新天堂樂園威秀影城更結合IMAX雷射影廳，以超越4K嶄新光學技術，表現絢麗鮮明色彩，全新12.1聲道環繞音響體驗，全面滿足東部發燒友影迷們期待。
此外，也規劃了沙發廳A+廳，讓影迷除了在娛樂觀影之外，亦能以不同的形式來包廳進行主題式的活動。推出42個頂極沙發座椅，給影迷看得舒適，享受尊榮奢華。
由台開集團規劃興建，威秀影城管理的花蓮新天堂樂園威秀影城，以經典電影《新天堂樂園》為名，充滿了濃厚的復古電影懷舊感，但整棟建築風格都是前衛先進的科技設備。","影城坐落於花蓮主幹道之一的南濱路上，建議自行開車前往。
市區可搭乘太魯閣客運301【東華大學－花蓮火車站】",花蓮縣吉安鄉南濱路一段503號3樓 (花蓮新天堂樂園購物商場),(03) 842-1133,
